brand_id;brand;model_id;model;version_id;version;trim;category;energy;horsepower_ch;fiscal_hp_cv;mixed_consumption_l_100km;model_year;public_price_mad;promo_price_mad;turnkey_price_mad;registration_fee_mad;paint_fee_mad;luxury_tax_mad;depreciation_y1_pct;depreciation_y2_pct;depreciation_y3_pct;source_path
19;Hyundai;780;Sonata;21723;2.0 GDi HEV 195 AT;Luxe;Familiale;Hybride;195;11;"4,3";2026;421900;0;434895;8995;4000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/sonata/fiche-technique/2-0-gdi-hev-195-at-luxe/21723.html
19;Hyundai;780;Sonata;21722;2.0 GDi HEV 195 AT;Premium;Familiale;Hybride;195;11;"4,3";2026;379900;0;392895;8995;4000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/sonata/fiche-technique/2-0-gdi-hev-195-at-premium/21722.html
19;Hyundai;780;Sonata;21724;2.0 GDi HEV 195 AT;Ultimate;Familiale;Hybride;195;11;"4,3";2026;454900;0;467895;8995;4000;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/sonata/fiche-technique/2-0-gdi-hev-195-at-ultimate/21724.html
19;Hyundai;247;Tucson;21728;1.6 CRDi 134 AT;Luxe;4x4 / SUV / Crossover;Diesel;134;6;"6,4";2026;414900;0;427645;6245;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson/fiche-technique/1-6-crdi-134-at-luxe/21728.html
19;Hyundai;247;Tucson;21730;1.6 CRDi 134 AT;N-line;4x4 / SUV / Crossover;Diesel;134;6;"6,4";2026;464900;0;477645;6245;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson/fiche-technique/1-6-crdi-134-at-n-line/21730.html
19;Hyundai;247;Tucson;21727;1.6 CRDi 134 AT;Premium;4x4 / SUV / Crossover;Diesel;134;6;"6,4";2026;379900;0;392645;6245;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson/fiche-technique/1-6-crdi-134-at-premium/21727.html
19;Hyundai;247;Tucson;21726;1.6 CRDi 134 AT;Prestige;4x4 / SUV / Crossover;Diesel;134;6;"6,4";2026;359900;0;372645;6245;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson/fiche-technique/1-6-crdi-134-at-prestige/21726.html
19;Hyundai;247;Tucson;21729;1.6 CRDi 134 AT;Ultimate;4x4 / SUV / Crossover;Diesel;134;6;"6,4";2026;444900;0;457645;6245;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson/fiche-technique/1-6-crdi-134-at-ultimate/21729.html
19;Hyundai;1752;Tucson HEV;21734;1.6 T-GDi 230 HEV;Luxe;4x4 / SUV / Crossover;Hybride;230;11;"4,8";2026;414900;0;430395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-hev/fiche-technique/1-6-t-gdi-230-hev-luxe/21734.html
19;Hyundai;1752;Tucson HEV;21736;1.6 T-GDi 230 HEV;N-line;4x4 / SUV / Crossover;Hybride;230;11;"4,8";2026;464900;0;480395;8995;6500;0;25;15;10;https://www.wandaloo.com/neuf/hyundai/tucson-hev/fiche-technique/1-6-t-gdi-230-hev-n-line/21736.html
