source;brand_id;brand;brand_slug;model_id;model;model_slug;version_id;version;version_slug;model_image_url;source_url
moteur.ma;92;Smart;smart;11106;#5;5;4512;267 kW AT Premium;267-kw-at-premium;https://v3.moteur.ma/storage/media/images/models/nouvelle-5-600.png;https://www.moteur.ma/fr/neuf/voiture/smart/5/267-kw-at-premium/
moteur.ma;92;Smart;smart;11106;#5;5;4511;267 kW AT Pro+;267-kw-at-pro;https://v3.moteur.ma/storage/media/images/models/nouvelle-5-600.png;https://www.moteur.ma/fr/neuf/voiture/smart/5/267-kw-at-pro/
moteur.ma;92;Smart;smart;11106;#5;5;4513;475 kW AT Brabus;475-kw-at-brabus;https://v3.moteur.ma/storage/media/images/models/nouvelle-5-600.png;https://www.moteur.ma/fr/neuf/voiture/smart/5/475-kw-at-brabus/
moteur.ma;536;soueast;soueast;11097;S 05;s-05;4424;1.6 l 156 AT Summit;16-l-156-at-summit;https://v3.moteur.ma/storage/media/images/models/nouvelle-s-05-585.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s-05/16-l-156-at-summit/
moteur.ma;536;soueast;soueast;11048;s06;s06;4343;DM 1.5 TGDI 360 AT Rise;dm-15-tgdi-360-at-rise;https://v3.moteur.ma/storage/media/images/models/nouvelle-s06-341.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s06/dm-15-tgdi-360-at-rise/
moteur.ma;536;soueast;soueast;11048;s06;s06;4141;DM 1.5 TGDI 360 AT Summit;dm-15-tgdi-360-at-summit;https://v3.moteur.ma/storage/media/images/models/nouvelle-s06-341.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s06/dm-15-tgdi-360-at-summit/
moteur.ma;536;soueast;soueast;11048;s06;s06;4140;ICE 1.5 l 156 AT Rise;ice-15-l-156-at-rise;https://v3.moteur.ma/storage/media/images/models/nouvelle-s06-341.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s06/ice-15-l-156-at-rise/
moteur.ma;536;soueast;soueast;11048;s06;s06;4344;ICE 1.6 l 197 AT Summit;ice-16-l-197-at-summit;https://v3.moteur.ma/storage/media/images/models/nouvelle-s06-341.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s06/ice-16-l-197-at-summit/
moteur.ma;536;soueast;soueast;11047;s07;s07;4142;soul ease rise 1.5 T 6 DCT;soul-ease-rise-15-t-6-dct;https://v3.moteur.ma/storage/media/images/models/nouvelle-s07-913.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s07/soul-ease-rise-15-t-6-dct/
moteur.ma;536;soueast;soueast;11047;s07;s07;4139;soul ease summit 1.5 TD 7 DCT;soul-ease-summit-15-td-7-dct;https://v3.moteur.ma/storage/media/images/models/nouvelle-s07-913.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s07/soul-ease-summit-15-td-7-dct/
moteur.ma;536;soueast;soueast;11125;S08 DM;s08-dm;4601;1.5 TD 355 AT Summit;15-td-355-at-summit;https://v3.moteur.ma/storage/media/images/models/nouvelle-s08-dm-349.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s08-dm/15-td-355-at-summit/
moteur.ma;536;soueast;soueast;11046;S09;s09;4138;soul ease summit 2.0 8 AT 4x4;soul-ease-summit-20-8-at-4x4;https://v3.moteur.ma/storage/media/images/models/nouvelle-s09-984.png;https://www.moteur.ma/fr/neuf/voiture/soueast/s09/soul-ease-summit-20-8-at-4x4/
